index	prediction
0	phrase
1	phrase
2	phrase
3	phrase
4	phrase
5	phrase
6	phrase
7	phrase
8	phrase
9	phrase
10	phrase
11	phrase
12	phrase
13	phrase
14	phrase
15	phrase
16	phrase
17	phrase
18	phrase
19	phrase
20	phrase
21	phrase
22	phrase
23	phrase
24	phrase
25	phrase
26	phrase
27	phrase
28	phrase
29	phrase
30	phrase
31	phrase
32	phrase
33	phrase
34	phrase
35	phrase
36	phrase
37	phrase
38	phrase
39	phrase
40	phrase
41	phrase
42	phrase
43	phrase
44	phrase
45	phrase
46	phrase
47	phrase
48	phrase
49	phrase
50	phrase
51	phrase
52	phrase
53	phrase
54	phrase
55	phrase
56	phrase
57	phrase
58	phrase
59	phrase
60	phrase
61	phrase
62	phrase
63	phrase
64	phrase
65	phrase
66	phrase
67	phrase
68	phrase
69	phrase
70	phrase
71	phrase
72	phrase
73	phrase
74	phrase
75	phrase
76	phrase
77	phrase
78	phrase
79	phrase
80	phrase
81	phrase
82	phrase
83	phrase
84	phrase
85	phrase
86	phrase
87	phrase
88	phrase
89	phrase
90	phrase
91	phrase
92	phrase
93	phrase
94	phrase
95	phrase
96	phrase
97	phrase
98	phrase
99	phrase
100	phrase
101	phrase
102	phrase
103	phrase
104	phrase
105	phrase
106	phrase
107	phrase
108	phrase
109	phrase
110	phrase
111	phrase
112	phrase
113	phrase
114	phrase
115	phrase
116	phrase
117	phrase
118	phrase
119	phrase
120	phrase
121	phrase
122	phrase
123	phrase
124	phrase
125	phrase
126	phrase
127	phrase
128	phrase
129	phrase
130	phrase
131	phrase
132	phrase
133	phrase
134	phrase
135	phrase
136	phrase
137	phrase
138	phrase
139	phrase
140	phrase
141	phrase
142	phrase
143	phrase
144	phrase
145	phrase
146	phrase
147	phrase
148	phrase
149	phrase
150	phrase
151	phrase
152	phrase
153	phrase
154	phrase
155	phrase
156	phrase
157	phrase
158	phrase
159	phrase
160	phrase
161	phrase
162	phrase
163	phrase
164	phrase
165	phrase
166	phrase
167	phrase
168	phrase
169	phrase
170	phrase
171	phrase
172	phrase
173	phrase
174	phrase
175	phrase
176	phrase
177	phrase
178	phrase
179	phrase
180	phrase
181	phrase
182	phrase
183	phrase
184	phrase
185	phrase
186	phrase
187	phrase
188	phrase
189	phrase
190	phrase
191	phrase
192	phrase
193	phrase
194	phrase
195	phrase
196	phrase
197	phrase
198	phrase
199	phrase
200	phrase
201	phrase
202	phrase
203	phrase
204	phrase
205	phrase
206	phrase
207	phrase
208	phrase
209	phrase
210	phrase
211	phrase
212	phrase
213	phrase
214	phrase
215	phrase
216	phrase
217	phrase
218	phrase
219	phrase
220	phrase
221	phrase
222	phrase
223	phrase
224	phrase
225	phrase
226	phrase
227	phrase
228	phrase
229	phrase
230	phrase
231	phrase
232	phrase
233	phrase
234	phrase
235	phrase
236	phrase
237	phrase
238	phrase
239	phrase
240	phrase
241	phrase
242	phrase
243	phrase
244	phrase
245	phrase
246	phrase
247	phrase
248	phrase
249	phrase
250	phrase
251	phrase
252	phrase
253	phrase
254	phrase
255	phrase
256	phrase
257	phrase
258	phrase
259	phrase
260	phrase
261	phrase
262	phrase
263	phrase
264	phrase
265	phrase
266	phrase
267	phrase
268	phrase
269	phrase
270	phrase
271	phrase
272	phrase
273	phrase
274	phrase
275	phrase
276	phrase
277	phrase
278	phrase
279	phrase
280	phrase
281	phrase
282	phrase
283	phrase
284	phrase
285	phrase
286	phrase
287	phrase
288	phrase
289	phrase
290	phrase
291	phrase
292	phrase
293	phrase
294	phrase
295	phrase
296	phrase
297	phrase
298	phrase
299	phrase
300	phrase
301	phrase
302	phrase
303	phrase
304	phrase
305	phrase
306	phrase
307	phrase
308	phrase
309	phrase
310	phrase
311	phrase
312	phrase
313	phrase
314	phrase
315	phrase
316	phrase
317	phrase
318	phrase
319	phrase
320	phrase
321	phrase
322	phrase
323	phrase
324	phrase
325	phrase
326	phrase
327	phrase
328	phrase
329	phrase
330	phrase
331	phrase
332	phrase
333	phrase
334	phrase
335	phrase
336	phrase
337	phrase
338	phrase
339	phrase
340	phrase
341	phrase
342	phrase
343	phrase
344	phrase
345	phrase
346	phrase
347	phrase
348	phrase
349	phrase
350	phrase
351	phrase
352	phrase
353	phrase
354	phrase
355	phrase
356	phrase
357	phrase
358	phrase
359	phrase
360	phrase
361	phrase
362	phrase
363	phrase
364	phrase
365	phrase
366	phrase
367	phrase
368	phrase
369	phrase
370	phrase
371	phrase
372	phrase
373	phrase
374	phrase
375	phrase
376	phrase
377	phrase
378	phrase
379	phrase
380	phrase
381	phrase
382	phrase
383	phrase
384	phrase
385	phrase
386	phrase
387	phrase
388	phrase
389	phrase
390	phrase
391	phrase
392	phrase
393	phrase
394	phrase
395	phrase
396	phrase
397	phrase
398	phrase
399	phrase
