id,spoilerType
0,phrase
1,passage
2,phrase
3,phrase
4,phrase
5,phrase
6,multi
7,passage
8,phrase
9,multi
10,phrase
11,phrase
12,phrase
13,passage
14,passage
15,phrase
16,passage
17,passage
18,multi
19,phrase
20,phrase
21,passage
22,passage
23,phrase
24,passage
25,passage
26,passage
27,phrase
28,passage
29,passage
30,phrase
31,passage
32,phrase
33,passage
34,phrase
35,multi
36,phrase
37,phrase
38,passage
39,phrase
40,phrase
41,passage
42,phrase
43,passage
44,phrase
45,phrase
46,passage
47,passage
48,phrase
49,passage
50,passage
51,passage
52,phrase
53,multi
54,passage
55,phrase
56,phrase
57,multi
58,phrase
59,phrase
60,passage
61,passage
62,phrase
63,phrase
64,passage
65,passage
66,passage
67,phrase
68,passage
69,phrase
70,multi
71,phrase
72,multi
73,multi
74,passage
75,passage
76,phrase
77,multi
78,phrase
79,phrase
80,phrase
81,phrase
82,phrase
83,passage
84,passage
85,passage
86,phrase
87,phrase
88,passage
89,phrase
90,phrase
91,multi
92,multi
93,phrase
94,passage
95,phrase
96,passage
97,passage
98,passage
99,passage
100,multi
101,multi
102,phrase
103,phrase
104,phrase
105,passage
106,phrase
107,passage
108,multi
109,passage
110,passage
111,passage
112,passage
113,passage
114,phrase
115,passage
116,phrase
117,passage
118,passage
119,multi
120,passage
121,phrase
122,phrase
123,passage
124,passage
125,passage
126,phrase
127,phrase
128,phrase
129,passage
130,passage
131,phrase
132,passage
133,passage
134,phrase
135,passage
136,passage
137,phrase
138,multi
139,passage
140,phrase
141,phrase
142,multi
143,passage
144,passage
145,passage
146,passage
147,passage
148,passage
149,phrase
150,passage
151,phrase
152,phrase
153,multi
154,passage
155,passage
156,multi
157,phrase
158,multi
159,phrase
160,phrase
161,passage
162,phrase
163,passage
164,phrase
165,passage
166,passage
167,phrase
168,passage
169,phrase
170,phrase
171,phrase
172,phrase
173,passage
174,phrase
175,passage
176,passage
177,multi
178,phrase
179,passage
180,phrase
181,phrase
182,passage
183,phrase
184,phrase
185,passage
186,passage
187,passage
188,multi
189,passage
190,phrase
191,phrase
192,phrase
193,phrase
194,passage
195,passage
196,phrase
197,phrase
198,phrase
199,phrase
200,passage
201,multi
202,phrase
203,phrase
204,passage
205,phrase
206,passage
207,multi
208,phrase
209,phrase
210,passage
211,phrase
212,passage
213,multi
214,passage
215,passage
216,multi
217,phrase
218,phrase
219,phrase
220,passage
221,passage
222,phrase
223,passage
224,passage
225,phrase
226,phrase
227,phrase
228,phrase
229,passage
230,phrase
231,phrase
232,phrase
233,multi
234,passage
235,multi
236,passage
237,passage
238,passage
239,passage
240,passage
241,passage
242,passage
243,passage
244,phrase
245,phrase
246,passage
247,passage
248,passage
249,passage
250,passage
251,phrase
252,phrase
253,passage
254,passage
255,passage
256,phrase
257,passage
258,passage
259,passage
260,passage
261,passage
262,phrase
263,phrase
264,passage
265,phrase
266,phrase
267,passage
268,phrase
269,phrase
270,passage
271,multi
272,passage
273,phrase
274,phrase
275,phrase
276,passage
277,passage
278,passage
279,phrase
280,phrase
281,multi
282,phrase
283,multi
284,multi
285,phrase
286,passage
287,passage
288,phrase
289,phrase
290,multi
291,phrase
292,multi
293,passage
294,multi
295,phrase
296,phrase
297,multi
298,phrase
299,phrase
300,phrase
301,phrase
302,multi
303,multi
304,phrase
305,phrase
306,phrase
307,multi
308,phrase
309,phrase
310,phrase
311,passage
312,phrase
313,passage
314,phrase
315,phrase
316,passage
317,passage
318,phrase
319,phrase
320,passage
321,phrase
322,phrase
323,phrase
324,multi
325,phrase
326,phrase
327,phrase
328,passage
329,passage
330,phrase
331,multi
332,passage
333,passage
334,multi
335,phrase
336,passage
337,phrase
338,phrase
339,phrase
340,phrase
341,passage
342,phrase
343,passage
344,passage
345,phrase
346,passage
347,phrase
348,passage
349,phrase
350,phrase
351,passage
352,passage
353,phrase
354,passage
355,phrase
356,phrase
357,passage
358,phrase
359,phrase
360,phrase
361,passage
362,phrase
363,passage
364,phrase
365,multi
366,phrase
367,passage
368,passage
369,passage
370,passage
371,passage
372,passage
373,passage
374,phrase
375,phrase
376,phrase
377,phrase
378,phrase
379,phrase
380,passage
381,passage
382,phrase
383,passage
384,phrase
385,multi
386,phrase
387,phrase
388,multi
389,multi
390,multi
391,passage
392,passage
393,passage
394,phrase
395,passage
396,phrase
397,phrase
398,passage
399,phrase
